type_encoded,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],temp_difference,power,tool_wear_ratio,Machine failure,TWF,HDF,PWF,OSF,RNF
0,299.5,309.2,1690,29.2,108,9.699999999999989,5.167329842931937,0.4268774703557312,0,0,0,0,0,0
0,299.6,309.2,1559,39.1,110,9.599999999999966,6.382921465968587,0.43478260869565216,0,0,0,0,0,0
1,299.6,309.3,1553,32.4,112,9.699999999999989,5.268816753926702,0.4426877470355731,0,0,0,0,0,0
0,299.6,309.3,1558,34.8,115,9.699999999999989,5.677319371727748,0.45454545454545453,0,0,0,0,0,0
0,299.7,309.4,1362,51.9,117,9.699999999999989,7.40186387434555,0.4624505928853755,0,0,0,0,0,0
1,299.8,309.3,1470,42.7,119,9.5,6.572670157068064,0.47035573122529645,0,0,0,0,0,0
0,299.8,309.4,1555,34.8,122,9.599999999999966,5.666387434554973,0.48221343873517786,0,0,0,0,0,0
1,299.8,309.4,1423,42.9,124,9.599999999999966,6.392324607329843,0.4901185770750988,0,0,0,0,0,0
0,299.7,309.3,1434,38.5,127,9.600000000000023,5.781047120418848,0.5019762845849802,0,0,0,0,0,0
0,299.7,309.3,1779,25.5,129,9.600000000000023,4.75020942408377,0.5098814229249012,0,0,0,0,0,0
0,299.7,309.3,1417,54.6,131,9.600000000000023,8.10138219895288,0.5177865612648221,0,0,0,0,0,0
0,299.6,309.2,1425,45.9,133,9.599999999999966,6.848952879581152,0.525691699604743,0,0,0,0,0,0
1,299.7,309.2,1597,32.9,135,9.5,5.501706806282722,0.5335968379446641,0,0,0,0,0,0
0,299.7,309.2,1346,57.4,138,9.5,8.090094240837695,0.5454545454545454,0,0,0,0,0,0
0,299.7,309.2,1422,40.4,140,9.5,6.0155811518324604,0.5533596837944664,0,0,0,0,0,0
2,299.7,309.2,1572,32.8,142,9.5,5.399120418848168,0.5612648221343873,0,0,0,0,0,0
0,299.7,309.2,1412,45.4,147,9.5,6.712544502617801,0.5810276679841897,0,0,0,0,0,0
1,299.7,309.1,1576,36.4,149,9.400000000000034,6.006952879581151,0.5889328063241107,0,0,0,0,0,0
1,299.7,309.1,1508,41.2,152,9.400000000000034,6.505717277486911,0.6007905138339921,0,0,0,0,0,0
1,299.8,309.1,1496,44.4,155,9.300000000000011,6.955225130890052,0.6126482213438735,0,0,0,0,0,0
0,299.8,309.2,1572,35.4,158,9.399999999999977,5.82709947643979,0.6245059288537549,0,0,0,0,0,0
0,299.6,309.0,1525,42.8,160,9.399999999999977,6.834554973821989,0.6324110671936759,0,0,0,0,0,0
0,299.6,309.0,1378,51.9,162,9.399999999999977,7.488816753926701,0.6403162055335968,0,0,0,0,0,0
0,299.6,309.1,1369,51.4,164,9.5,7.368230366492146,0.6482213438735178,0,0,0,0,0,0
0,299.6,309.1,1476,45.3,166,9.5,7.001340314136126,0.6561264822134387,0,0,0,0,0,0
0,299.7,309.2,1620,30.0,168,9.5,5.0890052356020945,0.6640316205533597,0,0,0,0,0,0
1,299.7,309.1,1603,38.5,170,9.400000000000034,6.4623560209424085,0.6719367588932806,0,0,0,0,0,0
0,299.7,309.2,1411,46.1,173,9.5,6.811214659685864,0.6837944664031621,0,0,0,0,0,0
0,299.7,309.2,1616,31.6,175,9.5,5.347183246073299,0.691699604743083,0,0,0,0,0,0
0,299.7,309.2,1631,35.1,177,9.5,5.994565445026178,0.6996047430830039,0,0,0,0,0,0
1,299.7,309.2,1685,28.9,179,9.5,5.099109947643979,0.7075098814229249,1,0,0,0,0,0
2,299.7,309.2,1456,40.6,182,9.5,6.189905759162303,0.7193675889328063,0,0,0,0,0,0
0,299.7,309.1,1417,50.1,187,9.400000000000034,7.433685863874345,0.7391304347826086,0,0,0,0,0,0
1,299.7,309.1,1851,24.7,189,9.400000000000034,4.787403141361256,0.7470355731225297,0,0,0,0,0,0
0,299.7,309.1,1715,27.8,192,9.400000000000034,4.992356020942409,0.758893280632411,0,0,0,0,0,0
2,299.6,309.1,1630,32.3,194,9.5,5.512984293193717,0.766798418972332,0,0,0,0,0,0
0,299.7,309.2,1478,38.8,199,9.5,6.004858638743455,0.7865612648221344,0,0,0,0,0,0
0,299.7,309.2,1781,29.6,201,9.5,5.520167539267017,0.7944664031620553,0,0,0,0,0,0
0,299.8,309.2,1439,36.1,203,9.399999999999977,5.439570680628273,0.8023715415019763,0,0,0,0,0,0
1,299.7,309.2,1412,45.3,205,9.5,6.697759162303665,0.8102766798418972,0,0,0,0,0,0
0,299.7,309.1,1483,41.1,208,9.400000000000034,6.382335078534032,0.8221343873517787,0,0,0,0,0,0
0,299.8,309.2,1400,42.6,210,9.399999999999977,6.245026178010471,0.8300395256916996,0,0,0,0,0,0
0,299.8,309.3,1299,65.1,212,9.5,8.85496335078534,0.8379446640316206,1,0,0,0,1,0
0,299.8,309.2,1479,44.4,214,9.399999999999977,6.876188481675392,0.8458498023715415,0,0,0,0,0,0
0,299.8,309.2,1491,47.5,216,9.399999999999977,7.415968586387435,0.8537549407114624,0,0,0,0,0,0
1,299.9,309.3,1389,52.8,0,9.400000000000034,7.679497382198953,0.0,0,0,0,0,0,0
1,299.9,309.4,1399,54.8,3,9.5,8.027769633507853,0.011857707509881422,0,0,0,0,0,0
1,299.9,309.4,1889,26.0,6,9.5,5.14282722513089,0.023715415019762844,0,0,0,0,0,0
0,300.0,309.5,1925,21.9,9,9.5,4.414397905759162,0.03557312252964427,0,0,0,0,0,0
0,300.0,309.5,1675,30.2,11,9.5,5.296858638743456,0.043478260869565216,0,0,0,0,0,0
1,300.0,309.6,1477,38.1,13,9.600000000000023,5.892534031413613,0.05138339920948617,0,0,0,0,0,0
0,300.0,309.6,1364,45.9,16,9.600000000000023,6.555769633507853,0.06324110671936758,0,0,0,0,0,0
0,299.9,309.5,1451,39.4,18,9.600000000000023,5.986324607329843,0.07114624505928854,0,0,0,0,0,0
0,299.9,309.4,1467,41.2,20,9.5,6.3288376963350785,0.07905138339920949,0,0,0,0,0,0
0,299.9,309.4,1858,22.5,22,9.5,4.377486910994764,0.08695652173913043,0,0,0,0,0,0
0,300.1,309.4,1559,39.7,24,9.299999999999955,6.480869109947644,0.09486166007905138,0,0,0,0,0,0
0,300.1,309.4,1560,47.7,26,9.299999999999955,7.7918324607329845,0.10276679841897234,0,0,0,0,0,0
0,300.1,309.4,1453,47.6,28,9.299999999999955,7.242178010471204,0.11067193675889328,0,0,0,0,0,0
0,300.1,309.4,1464,41.7,30,9.299999999999955,6.392544502617802,0.11857707509881422,0,0,0,0,0,0
0,300.0,309.4,1308,50.2,32,9.399999999999977,6.875560209424084,0.12648221343873517,0,0,0,0,0,0
0,300.1,309.5,1353,50.9,34,9.399999999999977,7.211277486910994,0.13438735177865613,0,0,0,0,0,0
1,300.2,309.6,1556,35.8,36,9.400000000000034,5.83296335078534,0.1422924901185771,0,0,0,0,0,0
0,300.2,309.5,2183,17.8,39,9.300000000000011,4.068837696335079,0.1541501976284585,0,0,0,0,0,0
1,300.2,309.6,1491,41.8,41,9.400000000000034,6.526052356020942,0.16205533596837945,0,0,0,0,0,0
1,300.2,309.6,1528,35.1,44,9.400000000000034,5.6160000000000005,0.17391304347826086,0,0,0,0,0,0
0,300.2,309.6,1430,52.7,47,9.400000000000034,7.891204188481676,0.1857707509881423,0,0,0,0,0,0
0,300.2,309.5,1495,32.6,49,9.300000000000011,5.103350785340314,0.19367588932806323,0,0,0,0,0,0
1,300.2,309.5,1630,28.3,51,9.300000000000011,4.830261780104712,0.2015810276679842,0,0,0,0,0,0
1,300.3,309.6,1524,38.4,54,9.300000000000011,6.127916230366492,0.2134387351778656,0,0,0,0,0,0
0,300.3,309.6,1326,52.4,57,9.300000000000011,7.275643979057591,0.22529644268774704,0,0,0,0,0,0
2,300.3,309.5,1438,44.0,59,9.199999999999989,6.625340314136126,0.233201581027668,0,0,0,0,0,0
0,300.4,309.6,1356,45.9,64,9.200000000000045,6.517319371727749,0.25296442687747034,0,0,0,0,0,0
2,300.4,309.6,1416,43.3,66,9.200000000000045,6.4201884816753925,0.2608695652173913,0,0,0,0,0,0
0,300.4,309.7,1584,32.6,71,9.300000000000011,5.407162303664921,0.28063241106719367,0,0,0,0,0,0
0,300.3,309.6,1597,31.8,73,9.300000000000011,5.317759162303664,0.2885375494071146,0,0,0,0,0,0
0,300.4,309.6,1553,43.9,75,9.200000000000045,7.138921465968586,0.2964426877470356,0,0,0,0,0,0
1,300.3,309.5,1405,49.4,77,9.199999999999989,7.267748691099476,0.30434782608695654,0,0,0,0,0,0
0,300.2,309.5,1539,35.3,80,9.300000000000011,5.688659685863874,0.31620553359683795,0,0,0,0,0,0
1,300.3,309.6,1398,53.7,82,9.300000000000011,7.861005235602095,0.3241106719367589,0,0,0,0,0,0
0,300.3,309.6,1568,39.6,85,9.300000000000011,6.50186387434555,0.3359683794466403,0,0,0,0,0,0
0,300.3,309.6,1404,44.6,87,9.300000000000011,6.556900523560209,0.3438735177865613,0,0,0,0,0,0
1,300.2,309.5,1500,45.7,89,9.300000000000011,7.178010471204188,0.35177865612648224,0,0,0,0,0,0
1,300.2,309.5,1642,28.8,92,9.300000000000011,4.95179057591623,0.36363636363636365,0,0,0,0,0,0
1,300.3,309.6,1509,46.6,95,9.300000000000011,7.363287958115184,0.37549407114624506,0,0,0,0,0,0
0,300.2,309.5,1343,50.2,98,9.300000000000011,7.059539267015707,0.38735177865612647,0,0,0,0,0,0
0,300.1,309.5,1450,40.1,100,9.399999999999977,6.0884816753926705,0.3952569169960474,0,0,0,0,0,0
0,300.0,309.4,1460,43.5,102,9.399999999999977,6.650261780104712,0.4031620553359684,0,0,0,0,0,0
0,300.0,309.3,1364,41.2,104,9.300000000000011,5.884481675392671,0.41106719367588934,0,0,0,0,0,0
1,299.9,309.3,1452,41.9,106,9.400000000000034,6.370554973821989,0.4189723320158103,0,0,0,0,0,0
0,299.9,309.3,1471,41.8,109,9.400000000000034,6.438513089005236,0.4308300395256917,0,0,0,0,0,0
0,299.9,309.2,1598,34.6,111,9.300000000000011,5.789612565445027,0.43873517786561267,0,0,0,0,0,0
0,299.8,309.1,1772,24.8,113,9.300000000000011,4.601633507853403,0.44664031620553357,0,0,0,0,0,0
0,299.9,309.2,1761,25.6,115,9.300000000000011,4.7205863874345555,0.45454545454545453,0,0,0,0,0,0
1,300.0,309.3,1413,40.7,117,9.300000000000011,6.021895287958116,0.4624505928853755,0,0,0,0,0,0
0,300.0,309.3,1887,22.6,120,9.300000000000011,4.4655706806282724,0.4743083003952569,0,0,0,0,0,0
0,300.0,309.3,1395,56.5,122,9.300000000000011,8.253141361256544,0.48221343873517786,0,0,0,0,0,0
1,300.1,309.4,1569,31.6,124,9.299999999999955,5.191664921465969,0.4901185770750988,0,0,0,0,0,0
0,300.1,309.4,1434,47.3,127,9.299999999999955,7.102429319371727,0.5019762845849802,0,0,0,0,0,0
0,300.2,309.5,1417,41.1,129,9.300000000000011,6.098293193717278,0.5098814229249012,0,0,0,0,0,0
0,300.2,309.5,1729,28.4,131,9.300000000000011,5.141738219895288,0.5177865612648221,0,0,0,0,0,0
0,300.2,309.5,1356,51.1,133,9.300000000000011,7.255664921465969,0.525691699604743,0,0,0,0,0,0
0,300.2,309.5,1436,48.8,135,9.300000000000011,7.337884816753927,0.5335968379446641,0,0,0,0,0,0
1,300.3,309.6,1419,42.5,137,9.300000000000011,6.314921465968586,0.541501976284585,0,0,0,0,0,0
0,300.3,309.6,1593,38.1,140,9.300000000000011,6.355319371727749,0.5533596837944664,0,0,0,0,0,0
1,300.3,309.5,1320,62.2,142,9.199999999999989,8.597277486910995,0.5612648221343873,0,0,0,0,0,0
1,300.3,309.5,1448,42.4,145,9.199999999999989,6.428816753926701,0.5731225296442688,0,0,0,0,0,0
0,300.3,309.4,1470,33.5,148,9.099999999999966,5.156544502617801,0.5849802371541502,0,0,0,0,0,0
1,300.3,309.4,1612,33.1,150,9.099999999999966,5.587141361256545,0.5928853754940712,0,0,0,0,0,0
0,300.4,309.4,1412,51.6,153,9.0,7.629235602094241,0.6047430830039525,0,0,0,0,0,0
1,300.4,309.4,1875,23.9,155,9.0,4.692408376963351,0.6126482213438735,0,0,0,0,0,0
0,300.3,309.3,1612,36.0,158,9.0,6.076649214659686,0.6245059288537549,0,0,0,0,0,0
1,300.4,309.3,1411,41.6,160,8.900000000000034,6.14634554973822,0.6324110671936759,0,0,0,0,0,0
1,300.3,309.2,1490,47.9,163,8.899999999999977,7.473403141361256,0.6442687747035574,0,0,0,0,0,0
1,300.4,309.3,1467,40.3,166,8.900000000000034,6.190586387434555,0.6561264822134387,0,0,0,0,0,0
0,300.3,309.2,1807,26.4,169,8.899999999999977,4.995267015706806,0.6679841897233202,0,0,0,0,0,0
0,300.3,309.1,1368,46.0,171,8.800000000000011,6.589319371727749,0.6758893280632411,0,0,0,0,0,0
0,300.3,309.2,1572,32.0,173,8.899999999999977,5.267434554973822,0.6837944664031621,0,0,0,0,0,0
1,300.3,309.1,1458,44.3,175,8.800000000000011,6.763287958115183,0.691699604743083,0,0,0,0,0,0
0,300.3,309.1,1699,30.3,178,8.800000000000011,5.390544502617802,0.7035573122529645,0,0,0,0,0,0
0,300.3,309.3,1478,39.5,180,9.0,6.113193717277487,0.7114624505928854,0,0,0,0,0,0
1,300.4,309.4,1362,42.1,182,9.0,6.00420942408377,0.7193675889328063,0,0,0,0,0,0
2,300.4,309.4,1487,38.9,185,9.0,6.056994764397905,0.7312252964426877,0,0,0,0,0,0
0,300.3,309.4,1705,29.4,190,9.099999999999966,5.248900523560209,0.7509881422924901,0,0,0,0,0,0
0,300.3,309.3,1345,53.5,192,9.0,7.534816753926702,0.758893280632411,0,0,0,0,0,0
0,300.3,309.2,1532,40.2,194,8.899999999999977,6.448837696335079,0.766798418972332,0,0,0,0,0,0
0,300.3,309.2,1650,35.2,196,8.899999999999977,6.081675392670157,0.7747035573122529,0,0,0,0,0,0
0,300.3,309.2,1398,54.4,198,8.899999999999977,7.9634764397905755,0.782608695652174,0,0,0,0,0,0
0,300.3,309.2,1412,44.8,200,8.899999999999977,6.623832460732984,0.7905138339920948,0,0,0,0,0,0
0,300.4,309.3,1525,39.6,202,8.900000000000034,6.323560209424084,0.7984189723320159,0,0,0,0,0,0
1,300.3,309.3,1391,57.9,204,9.0,8.433392670157067,0.8063241106719368,0,0,0,0,0,0
0,300.4,309.3,1766,28.2,207,8.900000000000034,5.214785340314136,0.8181818181818182,0,0,0,0,0,0
0,300.4,309.3,1671,35.0,209,8.900000000000034,6.124083769633508,0.8260869565217391,0,0,0,0,0,0
0,300.5,309.3,1373,48.8,211,8.800000000000011,7.0159581151832455,0.83399209486166,0,0,0,0,0,0
1,300.5,309.4,1347,50.1,213,8.899999999999977,7.066460732984293,0.841897233201581,0,0,0,0,0,0
1,300.5,309.3,1539,39.1,216,8.800000000000011,6.30103664921466,0.8537549407114624,0,0,0,0,0,0
0,300.5,309.3,1470,40.8,219,8.800000000000011,6.280209424083769,0.8656126482213439,0,0,0,0,0,0
0,300.5,309.3,1528,37.0,221,8.800000000000011,5.92,0.8735177865612648,0,0,0,0,0,0
2,300.5,309.3,1471,45.2,223,8.800000000000011,6.962219895287958,0.8814229249011858,0,0,0,0,0,0
1,300.4,309.2,1528,37.2,228,8.800000000000011,5.952000000000001,0.9011857707509882,0,0,0,0,0,0
0,300.5,309.3,1417,51.5,231,8.800000000000011,7.641413612565445,0.9130434782608695,1,0,0,0,1,0
0,300.6,309.4,1549,43.4,233,8.799999999999955,7.039434554973821,0.9209486166007905,0,0,0,0,0,0
2,300.6,309.4,1463,49.2,235,8.799999999999955,7.537130890052357,0.9288537549407114,0,0,0,0,0,0
0,300.7,309.5,1479,43.6,240,8.800000000000011,6.752293193717278,0.9486166007905138,0,0,0,0,0,0
0,300.6,309.5,1867,23.0,242,8.899999999999977,4.496439790575916,0.9565217391304348,0,0,0,0,0,0
0,300.6,309.4,1471,44.1,244,8.799999999999955,6.792785340314136,0.9644268774703557,0,0,0,0,0,0
2,300.6,309.4,1380,47.6,246,8.799999999999955,6.8783246073298425,0.9723320158102767,1,1,0,0,0,0
2,300.7,309.7,1623,32.7,0,9.0,5.557287958115184,0.0,0,0,0,0,0,0
0,300.8,309.7,1997,20.7,5,8.899999999999977,4.328575916230367,0.019762845849802372,0,0,0,0,0,0
2,300.7,309.6,1390,48.5,7,8.900000000000034,7.059162303664921,0.02766798418972332,0,0,0,0,0,0
0,300.8,309.7,1418,46.6,12,8.899999999999977,6.91924607329843,0.04743083003952569,0,0,0,0,0,0
0,300.8,309.7,1519,35.8,14,8.899999999999977,5.6942617801047115,0.05533596837944664,0,0,0,0,0,0
1,300.8,309.7,1519,39.7,16,8.899999999999977,6.314586387434555,0.06324110671936758,0,0,0,0,0,0
1,300.7,309.6,1536,37.2,19,8.900000000000034,5.983162303664922,0.07509881422924901,0,0,0,0,0,0
0,300.8,309.6,1680,28.7,22,8.800000000000011,5.048795811518325,0.08695652173913043,0,0,0,0,0,0
2,300.6,309.4,1555,37.9,24,8.799999999999955,6.171151832460733,0.09486166007905138,0,0,0,0,0,0
0,300.6,309.5,1471,49.6,29,8.899999999999977,7.639958115183247,0.11462450592885376,0,0,0,0,0,0
1,300.5,309.4,1877,23.8,31,8.899999999999977,4.677759162303665,0.1225296442687747,0,0,0,0,0,0
1,300.5,309.3,1578,30.5,34,8.800000000000011,5.039685863874346,0.13438735177865613,0,0,0,0,0,0
1,300.5,309.4,1655,32.1,37,8.899999999999977,5.562879581151832,0.14624505928853754,0,0,0,0,0,0
2,300.5,309.4,1502,34.3,40,8.899999999999977,5.39461780104712,0.15810276679841898,0,0,0,0,0,0
1,300.6,309.4,1367,63.2,45,8.799999999999955,9.046534031413614,0.17786561264822134,1,0,0,1,0,0
0,300.7,309.5,1541,37.2,48,8.800000000000011,6.002638743455498,0.18972332015810275,0,0,0,0,0,0
1,300.6,309.6,1588,37.0,50,9.0,6.152460732984293,0.1976284584980237,0,0,0,0,0,0
0,300.6,309.6,1684,32.8,53,9.0,5.78379057591623,0.20948616600790515,0,0,0,0,0,0
0,300.6,309.5,1437,40.0,55,8.899999999999977,6.018848167539267,0.21739130434782608,0,0,0,0,0,0
0,300.6,309.6,1409,42.4,57,9.0,6.255664921465969,0.22529644268774704,0,0,0,0,0,0
1,300.5,309.5,1320,49.9,59,9.0,6.89717277486911,0.233201581027668,0,0,0,0,0,0
2,300.5,309.5,1635,34.2,62,9.0,5.855183246073299,0.2450592885375494,0,0,0,0,0,0
1,300.5,309.5,1691,27.6,67,9.0,4.8870785340314145,0.2648221343873518,0,0,0,0,0,0
1,300.6,309.6,1365,50.0,70,9.0,7.146596858638744,0.2766798418972332,0,0,0,0,0,0
1,300.7,309.7,1523,38.2,73,9.0,6.0920000000000005,0.2885375494071146,0,0,0,0,0,0
0,300.6,309.7,1593,32.4,76,9.099999999999966,5.404523560209424,0.30039525691699603,0,0,0,0,0,0
0,300.6,309.6,1682,30.7,78,9.0,5.407057591623037,0.308300395256917,0,0,0,0,0,0
0,300.7,309.6,1329,54.3,80,8.900000000000034,7.556513089005235,0.31620553359683795,0,0,0,0,0,0
1,300.7,309.6,1568,35.2,82,8.900000000000034,5.779434554973823,0.3241106719367589,0,0,0,0,0,0
0,300.7,309.6,1733,24.8,85,8.900000000000034,4.500356020942409,0.3359683794466403,0,0,0,0,0,0
1,300.7,309.6,1473,48.1,87,8.900000000000034,7.418984293193717,0.3438735177865613,0,0,0,0,0,0
1,300.7,309.5,1633,31.3,90,8.800000000000011,5.35213612565445,0.3557312252964427,0,0,0,0,0,0
1,300.6,309.5,1530,40.2,93,8.899999999999977,6.44041884816754,0.3675889328063241,0,0,0,0,0,0
1,300.6,309.5,1550,40.2,96,8.899999999999977,6.524607329842933,0.3794466403162055,0,0,0,0,0,0
0,300.6,309.4,1410,40.6,99,8.799999999999955,5.99434554973822,0.391304347826087,0,0,0,0,0,0
0,300.5,309.3,1574,33.5,101,8.800000000000011,5.521361256544503,0.39920948616600793,0,0,0,0,0,0
0,300.6,309.4,1425,40.3,103,8.799999999999955,6.013350785340314,0.40711462450592883,0,0,0,0,0,0
1,300.6,309.4,1541,35.2,105,8.799999999999955,5.6799162303664925,0.4150197628458498,0,0,0,0,0,0
1,300.7,309.5,1733,26.7,108,8.800000000000011,4.845141361256545,0.4268774703557312,0,0,0,0,0,0
0,300.6,309.4,2496,13.5,111,8.799999999999955,3.5283769633507855,0.43873517786561267,0,0,0,0,0,0
0,300.6,309.4,1552,36.4,113,8.799999999999955,5.9154764397905755,0.44664031620553357,0,0,0,0,0,0
0,300.6,309.3,1409,38.7,115,8.699999999999989,5.709769633507854,0.45454545454545453,0,0,0,0,0,0
1,300.6,309.4,1581,35.7,117,8.799999999999955,5.910125654450262,0.4624505928853755,0,0,0,0,0,0
0,300.7,309.5,1251,59.9,120,8.800000000000011,7.846586387434554,0.4743083003952569,0,0,0,0,0,0
0,300.7,309.6,1500,44.1,122,8.900000000000034,6.9267015706806285,0.48221343873517786,0,0,0,0,0,0
0,300.6,309.5,1576,38.8,124,8.899999999999977,6.403015706806282,0.4901185770750988,0,0,0,0,0,0
1,300.7,309.5,1352,44.0,126,8.800000000000011,6.229109947643979,0.4980237154150198,0,0,0,0,0,0
0,300.7,309.6,1661,30.3,129,8.900000000000034,5.269979057591623,0.5098814229249012,0,0,0,0,0,0
0,300.7,309.6,1541,34.6,131,8.900000000000034,5.583099476439791,0.5177865612648221,0,0,0,0,0,0
2,300.6,309.6,1888,20.5,133,9.0,4.052774869109948,0.525691699604743,0,0,0,0,0,0
0,300.5,309.5,1255,62.1,138,9.0,8.160785340314137,0.5454545454545454,0,0,0,0,0,0
0,300.6,309.6,1411,41.6,140,9.0,6.14634554973822,0.5533596837944664,0,0,0,0,0,0
0,300.6,309.5,1516,39.0,142,8.899999999999977,6.190994764397906,0.5612648221343873,0,0,0,0,0,0
1,300.6,309.5,1492,34.0,144,8.899999999999977,5.311832460732984,0.5691699604743083,0,0,0,0,0,0
0,300.6,309.6,1726,30.0,147,9.0,5.4219895287958115,0.5810276679841897,0,0,0,0,0,0
0,300.7,309.7,1598,33.7,149,9.0,5.639015706806283,0.5889328063241107,0,0,0,0,0,0
0,300.8,309.8,1657,31.1,151,9.0,5.396094240837697,0.5968379446640316,0,0,0,0,0,0
0,300.8,309.7,1481,38.1,153,8.899999999999977,5.908492146596858,0.6047430830039525,0,0,0,0,0,0
1,300.7,309.7,1397,51.3,155,9.0,7.504303664921465,0.6126482213438735,0,0,0,0,0,0
0,300.8,309.7,1461,44.3,158,8.899999999999977,6.777204188481675,0.6245059288537549,0,0,0,0,0,0
1,300.7,309.6,1388,51.1,160,8.900000000000034,7.426890052356021,0.6324110671936759,0,0,0,0,0,0
0,300.7,309.7,1507,52.4,163,9.0,8.268774869109947,0.6442687747035574,0,0,0,0,0,0
1,300.7,309.6,1421,49.8,165,8.900000000000034,7.410031413612566,0.6521739130434783,0,0,0,0,0,0
1,300.8,309.7,1258,54.9,168,8.899999999999977,7.231853403141361,0.6640316205533597,0,0,0,0,0,0
1,300.8,309.7,1482,39.0,171,8.899999999999977,6.0521465968586385,0.6758893280632411,0,0,0,0,0,0
2,300.7,309.6,1403,51.3,174,8.900000000000034,7.536534031413612,0.6877470355731226,0,0,0,0,0,0
0,300.8,309.7,1373,45.4,179,8.899999999999977,6.527141361256544,0.7075098814229249,0,0,0,0,0,0
0,300.9,309.7,1460,42.1,181,8.800000000000011,6.436230366492147,0.7154150197628458,0,0,0,0,0,0
1,300.8,309.7,1751,27.9,183,8.899999999999977,5.115486910994764,0.7233201581027668,0,0,0,0,0,0
1,300.8,309.6,1546,42.3,186,8.800000000000011,6.847727748691099,0.7351778656126482,0,0,0,0,0,0
1,300.8,309.7,1680,28.2,189,8.899999999999977,4.960837696335078,0.7470355731225297,0,0,0,0,0,0
1,300.9,309.7,1394,48.8,192,8.800000000000011,7.123267015706806,0.758893280632411,0,0,0,0,0,0
0,300.7,309.6,1810,26.0,195,8.900000000000034,4.9277486910994766,0.7707509881422925,0,0,0,0,0,0
0,300.7,309.5,1479,34.5,197,8.800000000000011,5.342984293193718,0.7786561264822134,0,0,0,0,0,0
0,300.9,309.7,1431,41.4,199,8.800000000000011,6.203497382198953,0.7865612648221344,0,0,0,0,0,0
0,300.9,309.7,2355,14.4,201,8.800000000000011,3.5509947643979056,0.7944664031620553,0,0,0,0,0,0
1,300.7,309.6,1996,19.8,203,8.900000000000034,4.138303664921466,0.8023715415019763,1,1,0,0,0,0
0,300.7,309.5,1461,49.9,0,8.800000000000011,7.633916230366491,0.0,0,0,0,0,0,0
2,300.7,309.5,2007,19.7,2,8.800000000000011,4.140094240837697,0.007905138339920948,0,0,0,0,0,0
0,300.7,309.6,1505,34.9,7,8.900000000000034,5.499947643979057,0.02766798418972332,0,0,0,0,0,0
2,300.7,309.6,1925,20.5,9,8.900000000000034,4.132198952879581,0.03557312252964427,0,0,0,0,0,0
1,300.7,309.5,1622,30.5,14,8.800000000000011,5.1802094240837695,0.05533596837944664,0,0,0,0,0,0
0,300.7,309.5,1592,29.0,17,8.800000000000011,4.83434554973822,0.06719367588932806,0,0,0,0,0,0
0,300.7,309.5,1850,24.5,19,8.800000000000011,4.7460732984293195,0.07509881422924901,0,0,0,0,0,0
1,300.7,309.5,1470,48.7,21,8.800000000000011,7.496230366492147,0.08300395256916997,0,0,0,0,0,0
1,300.7,309.5,1445,46.4,24,8.800000000000011,7.020732984293193,0.09486166007905138,0,0,0,0,0,0
0,300.7,309.5,1685,31.1,27,8.800000000000011,5.487277486910995,0.1067193675889328,0,0,0,0,0,0
2,300.7,309.5,1667,30.5,29,8.800000000000011,5.323926701570681,0.11462450592885376,0,0,0,0,0,0
0,300.7,309.5,1578,35.4,34,8.800000000000011,5.849340314136126,0.13438735177865613,0,0,0,0,0,0
2,300.6,309.4,1691,28.0,36,8.799999999999955,4.957905759162304,0.1422924901185771,0,0,0,0,0,0
1,300.7,309.5,1439,43.8,41,8.800000000000011,6.599811518324607,0.16205533596837945,0,0,0,0,0,0
1,300.8,309.6,1404,38.7,44,8.800000000000011,5.689507853403142,0.17391304347826086,0,0,0,0,0,0
0,300.8,309.6,1498,45.8,47,8.800000000000011,7.184125654450261,0.1857707509881423,0,0,0,0,0,0
1,300.8,309.5,1481,44.5,49,8.699999999999989,6.900994764397906,0.19367588932806323,0,0,0,0,0,0
1,300.7,309.4,1589,35.0,52,8.699999999999989,5.823560209424084,0.20553359683794467,0,0,0,0,0,0
0,300.7,309.5,1467,44.3,55,8.800000000000011,6.805036649214659,0.21739130434782608,0,0,0,0,0,0
0,300.6,309.4,1654,32.8,57,8.799999999999955,5.680753926701571,0.22529644268774704,0,0,0,0,0,0
0,300.7,309.5,1508,39.9,59,8.800000000000011,6.300439790575916,0.233201581027668,0,0,0,0,0,0
1,300.7,309.6,1439,43.0,61,8.900000000000034,6.479267015706807,0.24110671936758893,0,0,0,0,0,0
0,300.7,309.5,1692,30.3,64,8.800000000000011,5.368335078534031,0.25296442687747034,0,0,0,0,0,0
1,300.7,309.5,1838,24.9,66,8.800000000000011,4.7922722513089,0.2608695652173913,0,0,0,0,0,0
0,300.6,309.3,1601,40.2,69,8.699999999999989,6.739287958115184,0.2727272727272727,0,0,0,0,0,0
0,300.6,309.4,1369,51.6,71,8.799999999999955,7.396900523560211,0.28063241106719367,0,0,0,0,0,0
1,300.6,309.4,1312,45.2,73,8.799999999999955,6.209675392670158,0.2885375494071146,0,0,0,0,0,0
0,300.6,309.4,1468,44.1,76,8.799999999999955,6.778931937172775,0.30039525691699603,0,0,0,0,0,0
1,300.6,309.4,1452,39.4,78,8.799999999999955,5.990450261780104,0.308300395256917,0,0,0,0,0,0
